HOMD.org Taxon Data::No Filter Applied Date: 2025-05-15			
HMT-ID	Genus	Species	NCBI Taxon ID
HMT-275	Porphyromonas	sp. HMT-275	712435
HMT-276	Moraxella	sp. HMT-276	475
HMT-277	Porphyromonas	sp. HMT-277	712436
HMT-278	Porphyromonas	sp. HMT-278	712437
HMT-279	Porphyromonas	pasteri	1583331
HMT-280	Odoribacteraceae [G3]	bacterium HMT-280	200643
HMT-281	Odoribacteraceae [G3]	bacterium HMT-281	200643
HMT-282	Acinetobacter	junii	40215
HMT-283	Porphyromonas	catoniae	41976
HMT-284	Porphyromonas	sp. HMT-284	712439
HMT-286	Tannerella	serpentiformis	712710
HMT-288	Segatella	oulorum	28136
HMT-289	Segatella	maculosa	439703
HMT-290	Anaerococcus	sp. HMT-290	165779
HMT-291	Prevotella	denticola	28129
HMT-294	Anaerococcus	vaginimassiliensis	165779
HMT-295	Anaerococcus	sp. HMT-295	165779
HMT-297	Acinetobacter	johnsonii	40214
HMT-298	Prevotella	histicola	470565
HMT-299	Hoylesella	nanceiensis	425941
HMT-300	Segatella	sp. HMT-300	712456
HMT-301	Hoylesella	sp. HMT-301	712457
HMT-302	Alloprevotella	rava	671218
HMT-303	Hoylesella	pleuritidis	407975
HMT-304	Prevotella	sp. HMT-304	712459
HMT-305	Segatella	sp. HMT-305	712460
HMT-306	Prevotella	vespertina	712461
HMT-307	Segatella	salivae	228604
HMT-308	Alloprevotella	sp. HMT-308	1283313
HMT-309	Segatella	sp. HMT-309	712463
HMT-311	Segatella	oris	28135
HMT-312	Aerococcus	viridans	1377
HMT-313	Prevotella	jejuni	652722
HMT-314	Prevotella	sp. HMT-314	712464
HMT-315	Hallella	sp. HMT-315	712465
HMT-316	Haematobacter	missouriensis	366616
HMT-317	Hoylesella	sp. HMT-317	652721
HMT-318	Pedobacter	sp. HMT-318	84567
HMT-319	Chryseobacterium	sp. HMT-319	59732
HMT-320	Flavitalea	sp. HMT-320	1210116
HMT-321	Pedobacter	sp. HMT-321	84567
HMT-322	Riemerella	sp. HMT-322	34084
HMT-325	Capnocytophaga	granulosa	45242
HMT-326	Capnocytophaga	endodontalis	2708117
HMT-327	Neisseriaceae [G1]	bacterium HMT-327	481
HMT-328	Corynebacterium	mastitidis	161890
HMT-329	Capnocytophaga	leadbetteri	327575
HMT-330	Micavibrio	aeruginosavorus	349221
HMT-331	Staphylococcus	auricularis	29379
HMT-332	Capnocytophaga	bilenii	712213
HMT-333	Corynebacterium	massiliense	441501
HMT-337	Capnocytophaga	gingivalis	1017
HMT-338	Capnocytophaga	sp. HMT-338	710239
HMT-339	Janibacter	indicus	857417
HMT-340	Brevibacterium	paucivorans	170994
HMT-341	Corynebacterium	coyleae	53374
HMT-342	Novosphingobium	panipatense	428991
HMT-343	Achromobacter	xylosoxidans	85698
HMT-344	Pseudomonas	luteola	47886
HMT-345	Absconditicoccaceae [G1]	bacterium HMT-345	713029
HMT-346	Saccharimonas	sp. HMT-346	713049
HMT-347	Saccharimonas	sp. HMT-347	713050
HMT-348	Parvisynbacter	sp. HMT-348	671231
HMT-349	Saccharimonas	sp. HMT-349	713051
HMT-350	Saccharimonadales [F1 G1]	bacterium HMT-350	713052
HMT-351	Nanosyncoccus	sp. HMT-351	713053
HMT-352	Nanosynbacter	sp. HMT-352	713054
HMT-353	Nanosynbacter	sp. HMT-353	1895827
HMT-354	Dermabacter	hominis	36740
HMT-355	Saccharimonadales [F3 G1]	bacterium HMT-355	713056
HMT-356	Nanoperiomorbus	periodonticus	713057
HMT-357	Pyramidobacter	piscolens	638849
HMT-358	Fretibacterium	sp. HMT-358	1434006
HMT-359	Fretibacterium	sp. HMT-359	1434006
HMT-360	Fretibacterium	sp. HMT-360	1434006
HMT-361	Fretibacterium	sp. HMT-361	1434006
HMT-362	Fretibacterium	sp. HMT-362	1434006
HMT-363	Fretibacterium	fastidiosum	651822
HMT-364	Nanosyncoccus	sp. HMT-364	1895827
HMT-365	Odoribacteraceae [G3]	bacterium HMT-365	200643
HMT-366	Ruminococcaceae [G3]	bacterium HMT-366	216572
HMT-367	Nanosyncoccus	alces	1895827
HMT-368	Dietzia	cinnamea	321318
HMT-370	Fusobacterium	sp. HMT-370	712288
HMT-371	Nanosyncoccus	nanoralicus	1895827
HMT-373	Stomatobaculum	sp. HMT-373	1213720
HMT-374	Cellulosimicrobium	funkei	1710
HMT-375	Urinicoccus	timonensis	712430
HMT-376	Hallella	sp. HMT-376	712466
HMT-377	Peptoanaerobacter	yurii	186804
HMT-378	Prevotella	micans	189723
HMT-381	Ruminococcaceae [G3]	bacterium HMT-381	216572
HMT-382	Anaerovoracaceae [G8]	bacterium HMT-382	186804
