HMT-881_16S000122	HMT-881	Lentilactobacillus buchneri 1581
HMT-884_16S000123	HMT-884	Lentilactobacillus rapi 481723
HMT-424_16S000124	HMT-424	Lentilactobacillus kisonensis 481722
HMT-819_16S000125	HMT-819	Lactobacillus johnsonii 33959
HMT-881_16S000126	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000127	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000128	HMT-881	Lentilactobacillus buchneri 1581
HMT-615_16S000129	HMT-615	Lactobacillus gasseri 1596
HMT-615_16S000130	HMT-615	Lactobacillus gasseri 1596
HMT-618_16S000131	HMT-618	Actinomyces gerencseriae 52769
HMT-036_16S000132	HMT-036	Haemophilus sp. 712310
HMT-819_16S000133	HMT-819	Lactobacillus johnsonii 33959
HMT-819_16S000134	HMT-819	Lactobacillus johnsonii 33959
HMT-615_16S000135	HMT-615	Lactobacillus gasseri 1596
HMT-418_16S000136	HMT-418	Lentilactobacillus parafarraginis 390842
HMT-819_16S000137	HMT-819	Lactobacillus johnsonii 33959
HMT-819_16S000138	HMT-819	Lactobacillus johnsonii 33959
HMT-881_16S000139	HMT-881	Lentilactobacillus buchneri 1581
HMT-819_16S000140	HMT-819	Lactobacillus johnsonii 33959
HMT-838_16S000141	HMT-838	Lactobacillus iners 147802
HMT-819_16S000142	HMT-819	Lactobacillus johnsonii 33959
HMT-819_16S000143	HMT-819	Lactobacillus johnsonii 33959
HMT-488_16S000144	HMT-488	Nanosynbacter fur 713059
HMT-838_16S000145	HMT-838	Lactobacillus iners 147802
HMT-736_16S000146	HMT-736	Dialister pneumosintes 39950
HMT-838_16S000147	HMT-838	Lactobacillus iners 147802
HMT-736_16S000148	HMT-736	Dialister pneumosintes 39950
HMT-838_16S000149	HMT-838	Lactobacillus iners 147802
HMT-488_16S000150	HMT-488	Nanosynbacter fur 713059
HMT-488_16S000151	HMT-488	Nanosynbacter fur 713059
HMT-838_16S000152	HMT-838	Lactobacillus iners 147802
HMT-838_16S000153	HMT-838	Lactobacillus iners 147802
HMT-819_16S000154	HMT-819	Lactobacillus johnsonii 33959
HMT-838_16S000155	HMT-838	Lactobacillus iners 147802
HMT-838_16S000156	HMT-838	Lactobacillus iners 147802
HMT-838_16S000157	HMT-838	Lactobacillus iners 147802
HMT-819_16S000158	HMT-819	Lactobacillus johnsonii 33959
HMT-488_16S000159	HMT-488	Nanosynbacter fur 713059
HMT-488_16S000160	HMT-488	Nanosynbacter fur 713059
HMT-736_16S000161	HMT-736	Dialister pneumosintes 39950
HMT-615_16S000162	HMT-615	Lactobacillus gasseri 1596
HMT-736_16S000163	HMT-736	Dialister pneumosintes 39950
HMT-488_16S000164	HMT-488	Nanosynbacter fur 713059
HMT-716_16S000165	HMT-716	Lacticaseibacillus paracasei 1597
HMT-568_16S000166	HMT-568	Lacticaseibacillus casei 1582
HMT-716_16S000167	HMT-716	Lacticaseibacillus paracasei 1597
HMT-568_16S000168	HMT-568	Lacticaseibacillus casei 1582
HMT-716_16S000169	HMT-716	Lacticaseibacillus paracasei 1597
HMT-568_16S000170	HMT-568	Lacticaseibacillus casei 1582
HMT-488_16S000171	HMT-488	Nanosynbacter fur 713059
HMT-568_16S000172	HMT-568	Lacticaseibacillus casei 1582
HMT-716_16S000173	HMT-716	Lacticaseibacillus paracasei 1597
HMT-838_16S000174	HMT-838	Lactobacillus iners 147802
HMT-353_16S000175	HMT-353	Nanosynbacter sp. 1895827
HMT-488_16S000176	HMT-488	Nanosynbacter fur 713059
HMT-568_16S000177	HMT-568	Lacticaseibacillus casei 1582
HMT-716_16S000178	HMT-716	Lacticaseibacillus paracasei 1597
HMT-568_16S000179	HMT-568	Lacticaseibacillus casei 1582
HMT-716_16S000180	HMT-716	Lacticaseibacillus paracasei 1597
HMT-488_16S000181	HMT-488	Nanosynbacter fur 713059
HMT-716_16S000182	HMT-716	Lacticaseibacillus paracasei 1597
HMT-488_16S000183	HMT-488	Nanosynbacter fur 713059
HMT-749_16S000184	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-749_16S000185	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-568_16S000186	HMT-568	Lacticaseibacillus casei 1582
HMT-118_16S000187	HMT-118	Dialister invisus 218538
HMT-118_16S000188	HMT-118	Dialister invisus 218538
HMT-568_16S000189	HMT-568	Lacticaseibacillus casei 1582
HMT-568_16S000190	HMT-568	Lacticaseibacillus casei 1582
HMT-123_16S000191	HMT-123	Anaeroglobus massiliensis 1852379
HMT-568_16S000192	HMT-568	Lacticaseibacillus casei 1582
HMT-118_16S000193	HMT-118	Dialister invisus 218538
HMT-568_16S000194	HMT-568	Lacticaseibacillus casei 1582
HMT-568_16S000195	HMT-568	Lacticaseibacillus casei 1582
HMT-118_16S000196	HMT-118	Dialister invisus 218538
HMT-568_16S000197	HMT-568	Lacticaseibacillus casei 1582
HMT-568_16S000198	HMT-568	Lacticaseibacillus casei 1582
HMT-568_16S000199	HMT-568	Lacticaseibacillus casei 1582
HMT-716_16S000200	HMT-716	Lacticaseibacillus paracasei 1597
HMT-716_16S000201	HMT-716	Lacticaseibacillus paracasei 1597
HMT-749_16S000202	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-568_16S000203	HMT-568	Lacticaseibacillus casei 1582
HMT-716_16S000204	HMT-716	Lacticaseibacillus paracasei 1597
HMT-841_16S000205	HMT-841	Megasphaera lornae 906
HMT-749_16S000206	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-118_16S000207	HMT-118	Dialister invisus 218538
HMT-568_16S000208	HMT-568	Lacticaseibacillus casei 1582
HMT-716_16S000209	HMT-716	Lacticaseibacillus paracasei 1597
HMT-749_16S000210	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-749_16S000211	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-568_16S000212	HMT-568	Lacticaseibacillus casei 1582
HMT-819_16S000213	HMT-819	Lactobacillus johnsonii 33959
HMT-716_16S000214	HMT-716	Lacticaseibacillus paracasei 1597
HMT-749_16S000215	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-568_16S000216	HMT-568	Lacticaseibacillus casei 1582
HMT-716_16S000217	HMT-716	Lacticaseibacillus paracasei 1597
HMT-716_16S000218	HMT-716	Lacticaseibacillus paracasei 1597
HMT-568_16S000219	HMT-568	Lacticaseibacillus casei 1582
HMT-749_16S000221	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-716_16S000222	HMT-716	Lacticaseibacillus paracasei 1597
HMT-568_16S000223	HMT-568	Lacticaseibacillus casei 1582
HMT-883_16S000224	HMT-883	Lactiplantibacillus pentosus 1589
HMT-883_16S000225	HMT-883	Lactiplantibacillus pentosus 1589
HMT-883_16S000226	HMT-883	Lactiplantibacillus pentosus 1589
HMT-883_16S000227	HMT-883	Lactiplantibacillus pentosus 1589
HMT-749_16S000228	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-118_16S000229	HMT-118	Dialister invisus 218538
HMT-749_16S000230	HMT-749	Lacticaseibacillus rhamnosus 47715
HMT-841_16S000231	HMT-841	Megasphaera lornae 906
HMT-841_16S000232	HMT-841	Megasphaera lornae 906
HMT-883_16S000234	HMT-883	Lactiplantibacillus pentosus 1589
HMT-861_16S000235	HMT-861	Lactiplantibacillus plantarum 1590
HMT-861_16S000236	HMT-861	Lactiplantibacillus plantarum 1590
HMT-883_16S000237	HMT-883	Lactiplantibacillus pentosus 1589
HMT-861_16S000238	HMT-861	Lactiplantibacillus plantarum 1590
HMT-883_16S000239	HMT-883	Lactiplantibacillus pentosus 1589
HMT-883_16S000240	HMT-883	Lactiplantibacillus pentosus 1589
HMT-883_16S000241	HMT-883	Lactiplantibacillus pentosus 1589
HMT-861_16S000242	HMT-861	Lactiplantibacillus plantarum 1590
HMT-883_16S000243	HMT-883	Lactiplantibacillus pentosus 1589
HMT-861_16S000244	HMT-861	Lactiplantibacillus plantarum 1590
HMT-883_16S000245	HMT-883	Lactiplantibacillus pentosus 1589
HMT-861_16S000247	HMT-861	Lactiplantibacillus plantarum 1590
HMT-861_16S000248	HMT-861	Lactiplantibacillus plantarum 1590
HMT-883_16S000249	HMT-883	Lactiplantibacillus pentosus 1589
HMT-861_16S000250	HMT-861	Lactiplantibacillus plantarum 1590
HMT-158_16S000251	HMT-158	Veillonella rogosae 423477
HMT-161_16S000252	HMT-161	Veillonella parvula 29466
HMT-161_16S000253	HMT-161	Veillonella parvula 29466
HMT-883_16S000254	HMT-883	Lactiplantibacillus pentosus 1589
HMT-118_16S000255	HMT-118	Dialister invisus 218538
HMT-158_16S000256	HMT-158	Veillonella rogosae 423477
HMT-161_16S000257	HMT-161	Veillonella parvula 29466
HMT-558_16S000258	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000259	HMT-558	Levilactobacillus brevis 1580
HMT-158_16S000260	HMT-158	Veillonella rogosae 423477
HMT-158_16S000261	HMT-158	Veillonella rogosae 423477
HMT-558_16S000262	HMT-558	Levilactobacillus brevis 1580
HMT-161_16S000263	HMT-161	Veillonella parvula 29466
HMT-558_16S000264	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000265	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000266	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000267	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000268	HMT-558	Levilactobacillus brevis 1580
HMT-158_16S000269	HMT-158	Veillonella rogosae 423477
HMT-558_16S000270	HMT-558	Levilactobacillus brevis 1580
HMT-161_16S000271	HMT-161	Veillonella parvula 29466
HMT-558_16S000272	HMT-558	Levilactobacillus brevis 1580
HMT-881_16S000273	HMT-881	Lentilactobacillus buchneri 1581
HMT-158_16S000274	HMT-158	Veillonella rogosae 423477
HMT-558_16S000275	HMT-558	Levilactobacillus brevis 1580
HMT-161_16S000276	HMT-161	Veillonella parvula 29466
HMT-118_16S000277	HMT-118	Dialister invisus 218538
HMT-161_16S000278	HMT-161	Veillonella parvula 29466
HMT-158_16S000279	HMT-158	Veillonella rogosae 423477
HMT-558_16S000280	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000281	HMT-558	Levilactobacillus brevis 1580
HMT-161_16S000282	HMT-161	Veillonella parvula 29466
HMT-158_16S000283	HMT-158	Veillonella rogosae 423477
HMT-558_16S000284	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000285	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000286	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000287	HMT-558	Levilactobacillus brevis 1580
HMT-558_16S000288	HMT-558	Levilactobacillus brevis 1580
HMT-158_16S000289	HMT-158	Veillonella rogosae 423477
HMT-158_16S000290	HMT-158	Veillonella rogosae 423477
HMT-161_16S000291	HMT-161	Veillonella parvula 29466
HMT-161_16S000292	HMT-161	Veillonella parvula 29466
HMT-861_16S000293	HMT-861	Lactiplantibacillus plantarum 1590
HMT-817_16S000294	HMT-817	Lactobacillus crispatus 47770
HMT-524_16S000295	HMT-524	Veillonella atypica 39777
HMT-156_16S000296	HMT-156	Veillonella nakazawae 0
HMT-524_16S000297	HMT-524	Veillonella atypica 39777
HMT-156_16S000298	HMT-156	Veillonella nakazawae 0
HMT-131_16S000299	HMT-131	Mitsuokella sp. 1321780
HMT-524_16S000300	HMT-524	Veillonella atypica 39777
HMT-817_16S000301	HMT-817	Lactobacillus crispatus 47770
HMT-161_16S000302	HMT-161	Veillonella parvula 29466
HMT-817_16S000303	HMT-817	Lactobacillus crispatus 47770
HMT-817_16S000304	HMT-817	Lactobacillus crispatus 47770
HMT-161_16S000305	HMT-161	Veillonella parvula 29466
HMT-161_16S000306	HMT-161	Veillonella parvula 29466
HMT-403_16S000307	HMT-403	Actinomyces sp. 0
HMT-461_16S000308	HMT-461	Lactobacillus ultunensis 227945
HMT-887_16S000309	HMT-887	Veillonella denticariosi 419208
HMT-161_16S000310	HMT-161	Veillonella parvula 29466
HMT-156_16S000311	HMT-156	Veillonella nakazawae 0
HMT-817_16S000312	HMT-817	Lactobacillus crispatus 47770
HMT-421_16S000313	HMT-421	Veillonella tobetsuensis 0
